inner_es_loss,inner_es_accuracy,val_loss,val_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/dropout_rate,config/train_loop_config/batch_size,config/train_loop_config/dataset_test_round,config/train_loop_config/dataset_fold_round,logdir,inner_es_precision,inner_es_recall,inner_es_specificity,inner_es_f1_score,inner_es_mcc,inner_es_auroc,inner_es_auprc,inner_es_true_positives,inner_es_false_negatives,inner_es_false_positives,inner_es_true_negatives,val_precision,val_recall,val_specificity,val_f1_score,val_mcc,val_auroc,val_auprc,val_true_positives,val_false_negatives,val_false_positives,val_true_negatives
0.671386182308197,0.6216216087341309,0.6852283477783203,0.6159420013427734,8856,1767774531,,False,1,5ab2c_00043,2026-01-07_09-28-51,8879.56489443779,8879.56489443779,1804946,ggpu130,10.241.148.30,8879.56489443779,1,0.0001,0.0001,0.6,689,0,0,5ab2c_00043,0.6025641,0.8103448,0.41509435,0.6911765,0.24636388,0.66851014,0.65054125,22.0,31.0,11.0,47.0,0.6043956,0.7638889,0.45454547,0.67484665,0.23024462,0.6033249,0.5648378,30.0,36.0,17.0,55.0
0.686168372631073,0.5405405163764954,0.6894565224647522,0.54347825050354,5237,1767772109,,False,1,5ab2c_00044,2026-01-07_08-48-29,5397.962711572647,5397.962711572647,1806908,ggpu130,10.241.148.30,5397.962711572647,1,0.0001,0.0001,0.8,689,0,0,5ab2c_00044,0.53271025,0.98275864,0.056603774,0.6909091,0.105490066,0.66623294,0.6508705,3.0,50.0,1.0,57.0,0.5338346,0.9861111,0.060606062,0.6926829,0.124883175,0.60143095,0.56404936,4.0,62.0,1.0,71.0
0.6184403300285339,0.6486486196517944,0.6581451296806335,0.6304348111152649,9999,1767769499,,False,1,5ab2c_00040,2026-01-07_08-04-59,10370.760057926178,10370.760057926178,1794547,ggpu130,10.241.148.30,10370.760057926178,1,0.0001,0.0001,0.0,689,0,0,5ab2c_00040,0.63380283,0.7758621,0.509434,0.6976744,0.2968168,0.72999346,0.73911417,27.0,26.0,13.0,45.0,0.62352943,0.7361111,0.5151515,0.6751592,0.25805882,0.65635526,0.64125663,34.0,32.0,19.0,53.0
0.6651252508163452,0.6396396160125732,0.684575617313385,0.5869565010070801,8857,1767769413,,False,1,5ab2c_00042,2026-01-07_08-03-33,9410.642258405685,9410.642258405685,1796937,ggpu130,10.241.148.30,9410.642258405685,1,0.0001,0.0001,0.4,689,0,0,5ab2c_00042,0.6216216,0.79310346,0.4716981,0.6969697,0.2805794,0.67338973,0.6552179,25.0,28.0,12.0,46.0,0.5925926,0.6666667,0.5,0.627451,0.16908576,0.60269356,0.56450635,33.0,33.0,24.0,48.0
0.6594555974006653,0.6396396160125732,0.6839518547058105,0.6014492511749268,7424,1767766700,,False,1,5ab2c_00041,2026-01-07_07-18-20,7543.87414598465,7543.87414598465,1795179,ggpu130,10.241.148.30,7543.87414598465,1,0.0001,0.0001,0.2,689,0,0,5ab2c_00041,0.625,0.7758621,0.49056605,0.6923077,0.2787619,0.6782694,0.6598439,26.0,27.0,13.0,45.0,0.6103896,0.6527778,0.54545456,0.6308725,0.19938956,0.6022727,0.5652231,36.0,30.0,25.0,47.0
0.579559326171875,0.7027027010917664,0.6337701082229614,0.6739130616188049,9999,1767765643,,False,1,5ab2c_00035,2026-01-07_07-00-43,9820.214964866638,9820.214964866638,1787092,ggpu130,10.241.148.30,9820.214964866638,1,0.001,0.0001,0.0,689,0,0,5ab2c_00035,0.68115944,0.8103448,0.5849057,0.7401575,0.40707567,0.7976578,0.8095498,31.0,22.0,11.0,47.0,0.6753247,0.7222222,0.6212121,0.6979866,0.34543923,0.6862374,0.6694645,41.0,25.0,20.0,52.0
0.6793127655982971,0.630630612373352,0.6873855590820312,0.6014492511749268,1419,1767759991,,False,1,5ab2c_00039,2026-01-07_05-26-31,1624.649671792984,1624.649671792984,1792945,ggpu130,10.241.148.30,1624.649671792984,1,0.001,0.0001,0.8,689,0,0,5ab2c_00039,0.5913978,0.94827586,0.28301886,0.7284768,0.31342953,0.6636304,0.6467837,15.0,38.0,3.0,55.0,0.5809524,0.8472222,0.33333334,0.68926555,0.21144502,0.60290396,0.56579185,22.0,44.0,11.0,61.0
0.6913003921508789,0.522522509098053,0.6917844414710999,0.52173912525177,6688,1767759149,,False,1,5ab2c_00024,2026-01-07_05-12-29,6780.221166372299,6780.221166372299,1775791,ggpu130,10.241.148.30,6780.221166372299,1,1e-05,0.0,0.8,689,0,0,5ab2c_00024,0.5225225,1.0,0.0,0.6863905,0.008559661,0.67761874,0.65949804,0.0,53.0,0.0,58.0,0.5217391,1.0,0.0,0.6857143,0.007409237,0.6005892,0.563619,0.0,66.0,0.0,72.0
0.6709378957748413,0.630630612373352,0.6855535507202148,0.6086956262588501,1217,1767759119,,False,1,5ab2c_00038,2026-01-07_05-11-59,1359.7005672454834,1359.7005672454834,1791481,ggpu130,10.241.148.30,1359.7005672454834,1,0.001,0.0001,0.6,689,0,0,5ab2c_00038,0.60493827,0.8448276,0.3962264,0.705036,0.271121,0.6678595,0.65016025,21.0,32.0,9.0,49.0,0.59574467,0.7777778,0.42424244,0.67469877,0.2165423,0.60332495,0.5649117,28.0,38.0,16.0,56.0
0.6635216474533081,0.6486486196517944,0.6842535138130188,0.6086956262588501,1100,1767758358,,False,1,5ab2c_00037,2026-01-07_04-59-18,1299.9664318561554,1299.9664318561554,1789982,ggpu130,10.241.148.30,1299.9664318561554,1,0.001,0.0001,0.4,689,0,0,5ab2c_00037,0.63013697,0.79310346,0.49056605,0.70229006,0.29861477,0.67599213,0.65804803,26.0,27.0,12.0,46.0,0.61538464,0.6666667,0.54545456,0.64,0.2137467,0.6026936,0.5649851,36.0,30.0,24.0,48.0
0.6128600239753723,0.6396396160125732,0.6552240252494812,0.6304348111152649,3115,1767757747,,False,1,5ab2c_00030,2026-01-07_04-49-07,3237.9719984531403,3237.9719984531403,1782154,ggpu130,10.241.148.30,3237.9719984531403,1,0.01,0.0001,0.0,689,0,0,5ab2c_00030,0.63235295,0.7413793,0.5283019,0.6825397,0.27651197,0.73780096,0.756387,28.0,25.0,15.0,43.0,0.6296296,0.7083333,0.54545456,0.6666667,0.2574715,0.66266835,0.6452443,36.0,30.0,21.0,51.0
0.6555809378623962,0.6216216087341309,0.6831282377243042,0.6086956262588501,957,1767757048,,False,1,5ab2c_00036,2026-01-07_04-37-28,1143.1505670547485,1143.1505670547485,1787851,ggpu130,10.241.148.30,1143.1505670547485,1,0.001,0.0001,0.2,689,0,0,5ab2c_00036,0.6142857,0.7413793,0.49056605,0.671875,0.24004719,0.6818477,0.6612352,26.0,27.0,15.0,43.0,0.6216216,0.6388889,0.57575756,0.63013697,0.21500874,0.6024832,0.5678282,38.0,28.0,26.0,46.0
