config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.0001,0.4,0.001,506,0.295472240447998,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.8768245,0.8735641,19.2,6.8,0.0,39.0,0.2871444970369339,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.88095504,0.8852557,24.2,7.8,0.0,48.8
1,0.001,0.0,0.01,506,0.2779497802257538,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.89822495,0.9031569,19.6,6.4,0.0,39.0,0.3085026115179062,0.8960185289382935,0.8546916,1.0,0.7375,0.9212176,0.79361427,0.87196666,0.8613033,23.6,8.4,0.0,48.8
2,0.001,0.2,0.001,506,0.3035945475101471,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8930966,0.8920816,18.8,7.2,0.0,39.0,0.3031018763780594,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.889109,0.8809166,23.4,8.6,0.0,48.8
3,0.0001,0.0,0.001,506,0.2863715052604675,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.8981263,0.8996574,19.6,6.4,0.0,39.0,0.28037882745265963,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.9058301,0.8995716,24.4,7.6,0.0,48.8
4,0.0001,0.0,0.01,506,0.3002110570669174,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.890927,0.8801732,19.2,6.8,0.0,39.0,0.2997163474559784,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.88573015,0.8797288,23.6,8.4,0.0,48.8
5,0.001,0.4,0.01,506,0.31824690103530884,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.8690335,0.8803652,18.4,7.6,0.0,39.0,0.2951936453580856,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.88667756,0.8920344,23.8,8.2,0.0,48.8
6,0.001,0.0,0.001,506,0.3140206813812256,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8684419,0.860569,18.4,7.6,0.0,39.0,0.29846758842468263,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8932637,0.9023903,23.8,8.2,0.0,48.8
7,0.01,0.0,0.1,506,0.29697395861148834,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.88264304,0.8838698,19.0,7.0,0.0,39.0,0.2802566409111023,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.88931763,0.89493245,24.4,7.6,0.0,48.8
8,0.01,0.0,0.1,506,0.3131081610918045,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.8568047,0.8675184,18.6,7.4,0.0,39.0,0.3017371892929077,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.8879504,0.90063465,23.8,8.2,0.0,48.8
9,0.001,0.0,0.001,506,0.27414112687110903,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8791913,0.85896665,20.0,6.0,0.0,39.0,0.3124839782714844,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8630594,0.8435604,23.2,8.8,0.0,48.8
